,course_name,picture_link,course_link,itemid,category
1,Excel2013零基础入门视频教程,http://ckimg.baidu.com/course/2017-03/11/513adcd77b0c14b0f49b029e1761618e.jpg,http://chuanke.baidu.com/6206422-210797.html,203,office
2,WPS OFFICE办公软件(文字与表格)——电脑应用必备技能,http://ckimg.baidu.com/course/2017-08/08/682a4fafe73b83061708668056131802.jpg,http://chuanke.baidu.com/1244516-170776.html,305,office
3,Excel2013函数从入门到精通,http://ckimg.baidu.com/course/2017-04/14/7c8c3ac4b21dae5c392cea15415a9900.jpg,http://chuanke.baidu.com/6206422-176706.html,201,office
4,Excel2013 企业级十大明星函数应用教程(第一季）,http://ckimg.baidu.com/course/2015-09/14/9eb1b47db820d86a21ed824463522ba1.jpg,http://chuanke.baidu.com/5231155-150891.html,200,office
5,Excel2013  如何突破学习瓶颈专题,http://ckimg.baidu.com/course/2016-01/08/b43551f1b281bd4c5b7158b196765c5a.jpg,http://chuanke.baidu.com/5231155-161874.html,198,office
6,Excel2013汇报图表高级制作教程,http://ckimg.baidu.com/course/2015-09/14/13c6ff3470da6b521589403713d034f4.jpg,http://chuanke.baidu.com/5231155-150904.html,202,office
7,PPT2013企业级版式设计(level2)（第二季）,http://ckimg.baidu.com/course/2015-09/14/6db18b508c08f498498739203f5c237d.jpg,http://chuanke.baidu.com/5231155-150921.html,273,office
8,如何做好PPT？ @我爱PPT 尝鲜版（0元疯抢中）,http://ckimg.baidu.com/course/2015-12/15/d09f0300d11596757e53b9c72fe971be.jpg,http://chuanke.baidu.com/2926931-129377.html,530,office
9,高大上的PPT设计秘笈（体验版）,http://ckimg.baidu.com/course/2015-12/08/934a70991c7cc096f6bde9c27f42f206.jpg,http://chuanke.baidu.com/1351317-102632.html,404,office
10,excel教程-oeasy教你玩转excel教程,http://ckimg.baidu.com/course/2013-09/22/6d20a50d247a36ea5e4b7e43a1894f2a.jpg,http://chuanke.baidu.com/1330850-93105.html,204,office
11,powerpoint ppt教程-oeasy所出,http://ckimg.baidu.com/course/2013-09/27/5bdf6c914c3e0a38e4c0ac574fffe65e.jpg,http://chuanke.baidu.com/1330850-93186.html,272,office
12,EXCEL如何利用排序的功能快速制作工资条——太快了,http://ckimg.baidu.com/course/2016-04/21/69ae771b01b53d73e4f6c5198f027933.jpg,http://chuanke.baidu.com/1757710-139474.html,205,office
13,即学即用PPT——升职加薪必备技能,http://ckimg.baidu.com/course/2016-05/19/2ab6db68fee4236526d62cfea8067633.jpg,http://chuanke.baidu.com/4574316-174893.html,436,office
14,办公软件office word ppt excel教程全集,http://ckimg.baidu.com/course/2016-10/28/e61ee689d8d652f6a2ee25d744791e00.jpg,http://chuanke.baidu.com/2241034-198477.html,316,office
15,[oeasy]word教程,http://ckimg.baidu.com/course/2013-08/08/aa81ff7712ea27b5f13e9769718268f9.jpg,http://chuanke.baidu.com/1330850-87851.html,2,office
16,Excel2013 VBA 入门基础视频教程,http://ckimg.baidu.com/course/2017-10/05/608a49b94272cd39fff6dffcc82d169e.jpg,http://chuanke.baidu.com/6206422-189395.html,199,office
17,【Excel2010篇】 第1讲 《Hello Excel！》 500强管培+MBA师兄,http://ckimg.baidu.com/course/2015-08/04/42600f3389ed743d96806e06e2decf5f.jpg,http://chuanke.baidu.com/1067439-87975.html,42,office
18,【PPT2010篇】 第1讲 《Hello PPT！》 500强管培+MBA师兄,http://ckimg.baidu.com/course/2015-08/04/d3f057ff02941a2bed78932689554158.jpg,http://chuanke.baidu.com/1067439-87842.html,49,office
