,userid,itemid
1,347,276
2,347,255
3,347,274
4,347,426
5,347,278
6,347,595
7,347,259
8,347,135
9,347,258
10,347,256
11,347,257
12,347,261
13,347,136
14,347,133
15,347,519
16,347,642
17,347,132
18,347,301
19,347,277
20,347,582
21,348,133
22,348,276
23,348,261
24,348,277
25,348,256
26,348,426
27,348,278
28,348,135
29,348,275
30,348,136
31,348,274
32,348,258
33,348,233
34,348,132
35,348,257
36,348,595
37,348,361
38,348,78
39,348,462
40,348,76
41,374,133
42,374,255
43,374,426
44,374,136
45,374,257
46,374,275
47,374,259
48,374,449
49,374,132
50,374,278
51,374,328
52,374,623
53,374,258
54,374,256
55,374,513
56,374,582
57,374,164
58,374,263
59,374,277
60,374,67
61,378,276
62,378,135
63,378,274
64,378,255
65,378,275
66,378,301
67,378,595
68,378,133
69,378,257
70,378,258
71,378,259
72,378,278
73,378,373
74,378,277
75,378,256
76,378,88
77,378,211
78,378,16
79,378,557
80,378,642
81,384,426
82,384,276
83,384,133
84,384,256
85,384,136
86,384,595
87,384,278
88,384,274
89,384,255
90,384,277
91,384,258
92,384,30
93,384,642
94,384,135
95,384,261
96,384,233
97,384,328
98,384,132
99,384,259
100,384,329
101,395,133
102,395,257
103,395,255
104,395,132
105,395,258
106,395,426
107,395,261
108,395,275
109,395,136
110,395,595
111,395,277
112,395,263
113,395,328
114,395,278
115,395,274
116,395,449
117,395,276
118,395,259
119,395,329
120,395,361
121,435,133
122,435,595
123,435,132
124,435,275
125,435,135
126,435,255
127,435,258
128,435,276
129,435,257
130,435,426
131,435,261
132,435,328
133,435,274
134,435,329
135,435,189
136,435,82
137,435,136
138,435,256
139,435,134
140,435,277
141,439,133
142,439,132
143,439,426
144,439,255
145,439,136
146,439,261
147,439,277
148,439,259
149,439,275
150,439,276
151,439,258
152,439,76
153,439,257
154,439,274
155,439,595
156,439,361
157,439,328
158,439,567
159,439,482
160,439,375
161,457,426
162,457,276
163,457,255
164,457,278
165,457,274
166,457,256
167,457,257
168,457,259
169,457,133
170,457,595
171,457,135
172,457,642
173,457,277
174,457,136
175,457,258
176,457,275
177,457,261
178,457,519
179,457,301
180,457,582
181,458,133
182,458,255
183,458,275
184,458,259
185,458,257
186,458,426
187,458,261
188,458,274
189,458,256
190,458,276
191,458,278
192,458,132
193,458,277
194,458,135
195,458,258
196,458,82
197,458,595
198,458,328
199,458,136
200,458,67
201,473,133
202,473,255
203,473,135
204,473,276
205,473,595
206,473,275
207,473,277
208,473,274
209,473,426
210,473,136
211,473,258
212,473,259
213,473,257
214,473,132
215,473,256
216,473,278
217,473,329
218,473,519
219,473,301
220,473,527
221,475,133
222,475,261
223,475,135
224,475,255
225,475,278
226,475,257
227,475,274
228,475,258
229,475,275
230,475,276
231,475,595
232,475,256
233,475,132
234,475,259
235,475,82
236,475,263
237,475,277
238,475,16
239,475,426
240,475,115
241,487,426
242,487,259
243,487,278
244,487,261
245,487,277
246,487,132
247,487,274
248,487,136
249,487,255
250,487,257
251,487,495
252,487,133
253,487,258
254,487,256
255,487,639
256,487,276
257,487,158
258,487,155
259,487,361
260,487,173
261,537,276
262,537,301
263,537,274
264,537,426
265,537,595
266,537,233
267,537,256
268,537,30
269,537,642
270,537,278
271,537,135
272,537,82
273,537,275
274,537,211
275,537,615
276,537,62
